comment,class
صحافة ديال الذل والانحطاط والفساد الاخلاقي,1
الله يلطف بالعباد وينصر المظلوم على الظالم,0
وهاديك طييييييطالي كاتبينها بالعاني هي سبب الرزق وداك الخيال اللي كايوقف حداك عندوا واحد الحاسة سميتها الغيرة ولا منعادما,1
ليلي بنت الشعب ههههههههه بنتكم بوحدكم,1
الله يدينا فضو,0
انتم الرجال السبب في الدعارة تغرونهن بالفلوس سيرو اتقوا الله في أنفسكم وفي بنات الناس ملي تبغي تحرش بالمرأة تفكر اختك امك خالتك عمتك جدتك كلهن نساء,0
حشومة عليكم و الله,0
هي لخصت القصة كلها في الدقيقة  حيث قالت عايشة في الأوهام  الله يشفيها,0
الله يستر هادا راجل ولا قواد بغيت ليكم العز اما الذل راكم عايشين فيه,1
التربية تكون في الصغر  فما نزرعه في عقول ابناءنا في الصغر نحصده لما يكبرون لذلك وجب تعليم ابناءنا دين الله تعالى باكرا في الصغر حتى يحميهم من الزلات والانحرافات والمنكرات لما يكبرون  كلنا مسؤولون وسنحاسب امام الله تعالى,1
الله يعطيك الدل أفم البزطام,1
باينة صيداتو مسكينكان بغي يزها ويزيد لصقت له بنت,1
دبا واش بغيثوا تحمقونا ولا كيفاش هربنا من دوزيم والاولى خرجتوا لينا انتما واش هدا فيديو وتقدموه للعالم ناااري امي لا ماعرفت فين غادي نهرب شوهتونا ها الدعارة ها الفساد ها السحر ها الزوامل ها الخرا الله انعل لما يحشم تفو مرضتونا والله حتى عيب وعار وحشومه معينا البنات زناقي عمروا اليوتيب مشوهينا لا فورمة لا زين معينا ليكم نتما حسبنا الله ونعم الوكيل فيكم ,1
هادشي قديم هي دارت قناة خدامة بالحلال كيف الناس وهاد قناة شوف تيفي غي باغيين يشوهو بيها هادو ليهود لي كيشوهو بيها مسكينة,1
لا حول ولا قوة الا بالله العلي العظيم هذا مشي انسان او مشي راجل بتاتا الله يخد فيه الحق,1
حتى إسرائيل ذاتها تحترم خصوصية الكنائس ولا تقتحمها وإن تحصن داخلها مطلوبين لا أدري ماحجة داعش في تدمير بيوت الله بالرغم من أن مباديء الشريعة تحظر مهاجمة معابد الغير خلال الحرب فما بالكم بالمساجد,0
دخلو شجعوني حبيباتي,0
اجمل ما في هاذ الاغنية انها نابعة من مشاعر حقيقية,0
كنظن داك الحشيش اثر على العقل ديالا الله يشوف من حالكم,0
اغنيه روعه,0
مرض نفساني ومرض الاوهام,0
المخزن لي دافعم باش تشوهو سمعت السيد حيث معارض وواقف ليهم فالحلق,0
صراحة هذا هو مستوى ولاذ زنقة هذو هما لي كيكبرو في حجر عاهرات كابر في ذعارة وكيشجع برتوش بيان جوي خوينز شوهتي راسك وتبعوك براهش لي شابعين امواتهم فساذ وذعارة,1
الله يعطيك هذا المرض ديال الصين,1
نتمنى هد الحب يكبر بينكم والله يبعد عليكم الحساد   ووالاد  الحرام,0
لا حولى ولا قوة الى بالله العلي العظيم  اختي ستري راسك راه غادي يجي يوم تندمي على كلشي قلتيه في الاعلام  ابدئي  حيات جديدة اطلبي الوتائق ديالك في المحكمة  والي معاك لو كان تيبغي ليك الخير ميخليكش تلتاجئي  لقنوات تفظحي فيها راسك  فكري  الدنيا صغيرة شنو بيكون مستقبل اولادك مني غادي يعروفو  هاد شي   ما في حد في الدنيا ماغلط والله سبحان وتعالى أمرنا بالستر,0
لاحول ولا قوة الا بالله العلي العظيم,0
كلنا مزوجين وعندنا رجالنا مكنتصوروش عريانات انت بنت زنقة كتبقاي بنت زنقة اسالينا,1
كلشي يبارطجي بغينا نزار فالطوندوس زكارة فالحقادة والمحسادة ,0
الشرف غالي تفو عليكم وليتيوا غير دايعين دبى عاد تتبكي,1
راه ماكنسمع والو ,0
هاد الفورمة ديال تراكس ماشي نورمال ياربي السلامة زايدة مزيرها,1
شوهة مقودة كنكون معصب كنتفرج فيكم كتفوجو عليا بروجولة هههه من شجرة الرسل أبطال أبطال أبطال بلاد أمان حاجة لصحيحة عندكم  محمد سيكسو حوا بلاد كاملة ههه,1
هدامجرممحاولتقتل,1
سير تخر,1
تحيا الناس الي كان تم نفتخر بيهم,0
تفو على مراوي مراوي مراوي,1
هضرتها جاتني كذوب ويلا كانت من اصحاب روتيني اليومي كون غير قتلها نيت,1
يلكان بصح هد بولاحية خص مو لأعدام,1
صراحة را عندك موهبة زوينة تستحق الدفن و الرجم,1
"العز للجالية  المغربية  والمغاربة  الاحرار
الله الوطن الملك    ",0
هههه اش هاد لقلاوي,1
صحاب الباك الله ينجحكم  كاملين,0
جيش بيمو غي كاتزيدوا المشاهدات لهاذ التب هههههههههه,1
هل انت تحسب راسك راجل  واعي ابدا انت انسان تشهر بالفساد والشدود زعم كبر سنك  موعظة في الفجوراتق خالق كيفستلقى ربك,1
كما قال سيدنا عيسى من منكم بلا خطيئه فليتقدم اولا ويرميها بحجر,0
نصحوه يدير شي قناة كلشي غايعاونو او يدخل شي رزيق,0
محشمتيش تشري اللايكات,0
رجعات اغنية ,0
قالت لك فيديوا عادي الله امسخك راه مؤخرة ديالك لعجباك الله اهديك واهدي الجميع,1
الله يعطيك شي موصيبة,1
تبارك الله على النساء المغربيات,0
المرض ههههه ديال المشاعر,0
راه حشومة راه قلة الترابي تعطي للناس بضهرك و بترمتك اش هاد المستوى وصلنا ليه,1
 هذا  راااه وجهوا صحيح فينكم المغاربة حاذكين غير في الميلودي و عينين تاتا باش تعرفوا راكم منافقون  هنا فين خاص تبانوا مع المظلومين,1
سبحان الله فاش لمار كتهضر فالحق كيكولو لها انت ناقصة عقل والا غلطات كيردوها هي مولات لعقل مجتمع منافق متناقض حرامي والمشكل هذا محامي يا حسرتاه وداير لمنكر,1
هذي بنت ومسكينة باينة عليها ماشي واثقة في نفسها  لهذاك ردت روحها راجل يعني تقول بلي هيا راجل هذي لازملها طبيب نفساني ,0
كتبت تعليق يضحك ويضحك شيطان الانني كنت كاتبة فيه تشميت الاخونا في الله وعرفت لأنني نكتب وانتم ضحكو وهو يقدر يقراه ويتجرح في قلبو وشيطان يفرح ويركب على كتافي اعوذ بالله لذالك فكرت ندعي له بالهدااية ونفقس الشيطان الله ينعلو اختكم من وجدة,1
كنتي تدعيه ف المحكمة دابا غير كتشوهي فراسك مشيتي برجليك كون كنتي بنت الناس  غادي تغوتي ف الاوطيل غادي ينقدوك إلى كان بزز عليك,1
ناري حسبنا الله ونعم الوكيل واش هادو مسلمين,1
داك الحول مريض ,1
شوف تيفي نصحوها بشي حاجة اخرى من الرقص الله يعطيكم مصيبة صحافه الزبل تفوووو,1
كفاكم من العبارات الكاذبة عاشت الجمهورية العربية الصحراوية الديمقراطية لا نامت,0
مااكينش مراة تقبل عليك تجيب ليك اطفال من غير سينا عارفة بير وغطاه ,1
لمادا تهتفون عاش المغرب عاش الملك لمادا دهبتم الى اسبانيا تعالو عيشو معنا القهرة والبطالة وعدم الصحة وقلة التعليم  ونشوفو هل رايكم سوف يتغير ام لا,0
اصلا  التشبه  بالنساء حرام,0
هدراتك فيها تناقود,0
قالت لك ضربني فالأول هههه لا ابنتي راه ضربك تا فلخر ههه التقحبين تحت شعار المظلومية ههه اشمن شرف عند لي تمشي تبات فالاوطيلات ,1
يجب حماية هده إمرأة من طرف عناصر الشرطة,0
سير تحشم سعيد كنعرفوه سنين,1
بغيت غير نعرف شكون لي داير المونطاج تفو,1
نندب واش راني نسمع ,1
تحيا الجزاءرالله اكبر,0
واش ال كيعرف شي بنت شارع ومشات معاه كتمشي لشوف ,1
لاحول ولا قوة الا بالله يحز في نفسي اطفالها يوم يشاهدون هذا الويل وكيف ستكون نفسيتهم يارب الطف واهدي ما خلقت يارب ,0
يعتكم الدل فينما  لقيتو شي خانز تجيبوه باش ديرو البوز  منها خرجات شوف تيفي    ولينا نشوفو  كاع الزبل ديال المغرب,1
ولهيلا جيت غير ياش ندير ديزلايك انمشي بحالي والله,1
عادي اصلا امها ليبرالية مع التجمع الوطني و الليبراليين كاملين نسخة الموديل الفرنسي التفتحي ,0
ميكروب ميكروب ميكروب ,1
لن يخرج آل سعود المدعمين للدكتاتورية في البلدان العربية بأموال فقراء حزيرة العرب لن يخرجو سالمين وسترون هذا في المستقبل,1
ناااري شحال بكيت نزار انت واعر بزااااااااف تقدر تكون هادي هي بداية دياللك برافو كمل برافو شكرا بزاااف ملولي شكرا تهلاو في بعضياتكم نزار متخلاش على هشام ولد ناس بقا معاه دير لايك باش اشوف كمونتير عفااااكم,0
شكوون كيشوف نزاار ترجل ملي مشا عند الملولي اسطاسيوني هنا,0
راس مثقل به الحمار حسن منو شنو معنى محامي  مكتعرفش معناها أكيد داكشي علاش المهم ربي كبير,1
الله يعطيك لعذاب لبحالكم خلاو الإسلام مثل اللعبة من علامات الساعة الكبرى اللهم ءن هذا منكر,1
وحنا شنو يتافدوا من هاد الهضره,0
أنا   ولد  كندير  الماكياج,0
هادي لمتابتش عقيبتها مغتكونش بيخير الله يستر الله يخرجنا من دار العيب بلا عيب,1
بلاش فقرة الاهداءات وادا كان لابد منها خليها في نهايه الفيديو احسن وبالتوفيق ياعمر,0
خويا تهلا فديك لبنت راه ربى عطك نعمة مهم خوتي دعو معيا حتا أنا بشي بنت بحال ديال اكشوان اكنوان,0
قلة الحياء و التربية,1
بغيت لك الغرق اللي يقلب سليبك يلقاه خانز عوض متجفي والكاميرا وراك ديريها قدامك كن مكانتش عندك نية خامجة بحالك,1
هادي حملها شي واحد وسباتها في الجن اصلا الجن مكيدخلش في الإنس هاديك غير خرافات ومعتقدات,0
متجيوش وتحكمو حتى هما الخوتنا أهم حاجة النصيحة,0
ادا أسندت المهام إلى غير أهلها فانتضر الساعة افنكم آملين المستر و الدكتورة هادا غير بمشطة و مقص اتخصار الهدرة  دار البوز,0
نزار كنتمنى تبقى رجولة,0
هاد الكاطبيلار مكتعرفها لاكضحك ولاكتبكي لاصورة لاصوت,1
كاع هادشي من ضربه ومزال حيه الله يهدي الحلق ويبين الحق,0
الظواهر المجتمعية السيئة هي مثل السرطان ,0
كن معينا لها وحاميها اخي الكريم وسوف تجد فيها  خير لا يعد ولا يحصى,0
فحال هكا الممسوخة تنا مقلوبة  كروم ديالك علينا خاف من الله  تنا الله يهديك,1
شكرا لناس لذخلات عندي ,0
مشاكل المغاربة محال تقدو معرفت علاش و مجتمع ديالنا مبقاش تحشم أو نقص و فشل تربوي فالأسر المغربية بنت شحال كان لحمها عزيز عليها دبا تنشوف هلمكوزة هليهزة رجليها هلتوزجات إفريقي هرب عليها هلخليجي تضربها و أم ديالها تتبكي نقدوني بزف مشاكيل تتبين لينا ولنا عيشين فالدوار لضو لما هلتكريسي هلخصرو ليها وجهها و دكتور التازي ترقع بحال طولي طومبيلات صحاب كسيد صافي المغاربة بركة من هذشي و نتصلحو مع نفوسنا و نهاية الجاهلية و الأمراض نفسية لفيه شي حاجة يمشي دوي رسو ,1
والله يخرجنا من دار العيب بلا عيب,0
انتم من تامر على الإسلام لخوفكم من مسواتكم مع الهندي,1
التحدي مع ريكو هوا هاد الاغنية هههههه كلشي يدير جيم باش يشوفو ههههه,0
صراحة كليب وااعر شكون لي بكا فاش كال الرب العالي دخلو عندي تسمعو نزار آش كال على الحمل ديال ندى حاسي,0
هل هنا من يشجع ناشرين القرآن الكريم,0
نطالب بوقف هاته القنوات الاباحية,1
راه والله حتى عبر عليك كان بغيت كاع رجال يكونوا بحال هاكة وش هاد قلة لحية قلة لعفة قلة الاحترام الله ياخد فيكم الحق المسخوطات بغيتوا دخلوا لفلوس باءي طريقة اتفوا وجه لوسخ,1
اوا بارطاجي لينا كفاش سمحمد تدوقلك الحلوى في بيت نعاس انا تنظن انك نتي لتدوقيليه الحلوة باش نيت روتيني ولي فيه محتوى اوا عرفتي راك خيرية تتكلم ,1
انا ف الشات كايقولي شي واحد ممكن نشوف تصويرتك و أنت واقفة و الفورمة كنقوليه اوكي ف  ثانية واحدة كنديرليه بلوك,0
داخلنا عليكم بالله اش داك اللباس لي لبسين لبنات تفو معندهمش علاش يحشمو,1
انت مالك ومال الشقق يا المحساد يا المنافق كتقول لقيتيه كيخدم بي درهم الله يمسخك في سنة  خدم عندي درهم مكنتيش امعاه,1
أنا من خميسات بنات الخميسات راه زوينات وضريفات  و لكن معرفتش علاش هادي خرجات من الجنب,0
انا مافهمتش ام كتقول هدي بنت و هيا كتقَول انا ولد والله مافهمت مهم الله يشفيها يارب و يبعدها على إدمان يارب,0
تركب معه بسيارته,0
حسبي الله ونعم الوكيل يا هاد القناة ديال الويل,1
تبارك الله عليك شقا ولايني شقا درتيه لينا حنا كاع ماكنعىرفو نجفو الكوزينة والسي محمد حتى هو صاوب لينا الحوت واسيري الله يمسخك انت والفيديوات ديالك,1
هكاك عطيو لطاسيلت جد باباه,1
راها بنت تحيد لحوايج رجال وتخلي شعرها يطوال,0
شحال من واحد دابا كايشوف هاد التعليق بغيتك تشوف ميمتك في جنة الفردوس الأعلى إلى فرحتيني بشي ابوني,0
ما هذا الخراء ياترى,1
على الرئيس السابق ان يقدم مبادرته الى الله,0
هذ نسبة المشاهدة لي ربحتو من هذ الفيديوعاونو هد ناس,0
و الله ما كدب حلوف و حلوفة الغيس,1
عاد هد المحامي الله استر,0
تحية ناس المغارب,0
بصح اخوتي وخوتاتي خاصها تكون عبرة لبنات لي غي يلصقو مايعرفوه لا راجل متزوج لا عنده ولاده بلا بيه يعيشو معقدين مايعرفوه راجل  هبيل غي لي شافوه عنده زنطيط يلسقوه لمهم راهم تزوجو او عندها راجل ماشي مهم متزوج ولا أعزب غي لي شاف فيهم اجي طلع الله ينتقم منكم شحال من مرآة متزوجة خرجتو على زواجها  او يتمتو أطفال الله ياخد فيكم الحق,1
وراها بنت خاصها علاج نفسي الله يشافيها ياااربي,0
أول فديو بكاني والله,0
تفو على مستوى بخ,1
الأنوثة كاتبكي فالقنت,1
ماكانش ادير هاديك لموسخة,1
انا صماكيت صماكيت,0
والله الى بقى فيا الله يرحمك يااربي,0
عائلتها مساكن الله يكون في عوانهم بقاووو فيا مساكن الله ياخذ الحق في هذا شوها ,0
انا بكيت والله الله اخليكم لبعضكم وبعد عليكم ولاد لحرام,0
على كمامر غير البنات ليكايزنيو,1
"لي بان ليه نزار ترجل و تنقا مع الملولي

ايدير ليك",0
تحياتي لكم جميعا من باريس أولاد بلادي الاحرار عاش المغرب عاش الملك,0
نزار تْبت تعليقي عندي ولد مريض بتوحد والله العظيم اخويا حتى مصاريف المدرسة والترويض مبقيتش قادة عليها والله تغلبت بغيت ربي فرحك اخويا ويحفظك أخويا نكمل غير الشرط الأول دخلو فرحوني,0
حامضين حفات ليكم مشات جماعة مون بيبي وها كورونا العلب الليلية سادين والفنانة اوختها ريا وسكينة الحبس القضية حامضة,1
قال نجم كندا هههههههههههههههه,0
لي ما عندو هم تولدو ليه حمارتو,1
انا بغيت الله ينتقم من هاد اللي خرج لينا هاد الانترنيت و اليتوب والوات صاب الله يعطي لمو العداب شوف فين ولينا,1
هاد خانزه ساري كول شحال باسلة,1
راه ماش الفورنو لي موسخ راه انت لي موسخة حيث باغيا الفلوس باي طريقة الله يعفو عليكم,1
شكون تيجي يسمع الاغنية مرا مرا سطيوني حديا ,0
مسكين هاد السيد باين عندو شي حاجة ضاراه فقلبو غير ملاقي جهد,0
دائما العنوان  موسخ مستوى طايح,1
هادشي منسم مخري,1
مبقاو رجال ولاعيلات تفو عليكم,1
علامات ساعة بانو  ,0
من وجهة نظري غزات فيها مرتو اش داها لراجل المرا و نايضة دير معه علاقة جنسية خارج إطار الزواج القانوني الكلاخ,1
هده القضية مبنية من الاول على عدم النية بين الطرفين الضحية اغواها المنصب والتاني اغوته الحلوى ولهادا كل ما يبنى على باطل فهو باطل,0
حسبنا الله ونعم الوكيل لا تنهى عن خلق وتأتي مثله عار عليك اذا فعلت عظيم,0
سمحيلي اختي يالله دخلت شفت قناتك ما فيها ما يتشاف متقوليش روتين يومي بل قناة الفسق والفجور,1
الله ينعل هاد شوف خيخي اش كديرو كتفضحو في عباد الله,1
سير يعطيكم مصيبة مكتخافوش الله,1
لابد من تغيير المنكر اللهم ان هدا منكر,0
انا اللي سالا معايا هو الجم الغنية فجيه وهو فجيه معرت شنوكان كيغني الملحون,1
ولد القحلة شبعتي حوى وقلبتي عليها انت ماشي راجل,1
لوين معقول ستر بنت ناس معمرك تخيب اولدي دير قناة ديالك نتى ومرتك وحنى تحت طلب,0
مشكيييلة هذه الجزيرة فضحت كل شيء هههههه,0
سلامة ياربي اش هاد المرض تاني,1
مال المحكمة ما دارت بحث في فيديو الشنيع بين وهيبة و زيان,0
انا كون كان عليا كون قطع ليها بجوج الله يغبر ليك شقف صراحة راجلك سجن ظلاما,1
لاحول ولا قوة الابالله العلي العضيم يقول النبي صلى الله العلي اذا ابتليتم فاستتروا معمرنا شي فنان راجل لابس التكشيطة وداير البزازل قبح الله سعيك الخانز,1
بغيت غير نعرف شكون ديك  ,0
تتقتلهم هاذ الكلمة  عاش الملك  عاش الملك  عاش الملك  عاش الملك,0
ابحال هاد الرجالة غير الله يقطعهم وامشوا ابدلو اسمية  لا سر لا ملح  غير حيد اللحية ودير ابزازل ,1
والقران فيه شفاء لكل ذاء والصلاة على النبي اقدر اكون عندها وسواس ولا جن ديها  تدير الرقية والله اشافيها ويلا خلقها الله بذهاز تناسلي لتحت او لفوق راجل العلاج عند الله اما بنادم مافيدو والو,0
لي دعمني الله إكتر خيركوم وقفتو معيا وانا شخص معاق وجزاكم الله عنا خيرا,0
الله يفرج عليه اما تي راك باينة لي تعري علا زكها سرها ةتر تفو,1
بنتي اختي سيري الجمعية فيها موحامين هوما ايوقفو معاك معقول واحد سيدت في عائلة اختصبها واحد بشات جمعية اعطوها حقها كاينة الجمعية فيها موحامين في دار البيضاء حدى حبوس في دار البيضاء,0
الله يفرجها عليك ختي و ديرو عقلكم البنات,0
خصها طبيب نفسي,0
من جفاف ديريكت حوت بلاغسيل الله يعطينا وجهك,1
عناوين الزفت,1
شكون جا من فيديوا العملية,0
حركات مؤلمة ,0
الغلط الاول والاخير ديالك اختي نتي لي غاده معاه الاوطيل شنو بغيتي مثلا يوقع ايخرج هازك فالعماريه,0
سلام عليكم العيالات معاكمفتيحة اللي بغات دير مشروع عمل و دخل بزاف ديال الأرباحبلا راس المال بلا دبلوم تخدمي غير فوسط دارك وبتلفونك  هذا عمل حر كتخدمي الوقت لي بغيتي  السلعة تجيك حتى لدارك كل منتوج بغيتيه ذو جودة عالية مع أنابيلا تبيعي ونتي مرتاحة حيت جميع منتوجاتها طبيعية  وزائد كتقداي بأقل ثمن راسك و كتربحي  على كل برودوي بعتيه وعاد زيد الهدايا كل شهر فنما كتقداي زائد خلصة شهرية كتبدا من  درهم حتى درهم فما فوق على حسب خدمتك و مجهوداتك  عطي لراسك فرصة وجربي ماتخسري والو حققي أحلامك معاناشنو كتسناي كليكي هنا و مغاداش تندمي,0
كيتشاركو بزاف ديال الحوايج كيتكالو بعضياتهم تفو على كيادر,1
وبالسيف ميتقبلوكش اخويا  انا بنت ومنديرش هاد الحالة,1
كليب رائع  تبارك الله على هشام ونزار نتمنى لكم اكتر,0
واكواك الحق وا ذكر الله أعباد الله نغيروا منك واش من نيتك وا سي زمر سير ترجل الله يعطيك العداب تفو الانوتة ديتيها راسك,1
شكون هنا من بعد نزار لندى لخوت لواجب الوطني ,0
لي عطا زكو معندو لي يفكو,1
الله ياخد الحق,0
شوف هاد شلح تفو  فين توصل لمرة الحامض ,1
الله ينزل عليكم النعلة لا حولة ولا قوة إلا بالله العلي العظيم,1
كانت عليها تورينا لفشلوق ياك حرية حرية و تورينا كيفاش كتحوى را مكنعرفوش نحويو ياك حرية حرية بغينا الحرية بغينا الحرية  والله يحفر لمك جذر,1
آش هاد تخربيق زعمالعيالات ياك ماكايصحابليكش العيالات معارفينش,1
وانا كنقول مال كرونا جاتنا هاد العام,0
هل سأجد من يصلي على النبي من أجل أنقاد هذه الفتاة من هذا المرض يارب ,0
تفوووووووو الله اعطيكم الذل او طيحتو بينا او شوهتونا,1
الله يديرليك تويل ديال الخير وشافي ليك بنيتك وردها ليك مردا جميلا,0
الهم صلي وسلم وبارك على سيدنا محمد وعلى آله وصحبه أجمعين,0
واش هاذ القناة مغربية لاٲظن ,1
ما الفايدة من الزواج اذا كان الإنسان  غير قادر على الالتزام بعدم الخيانة الزوجية و عدم الوقوع في الحضور,0
الواليدة مريضة عملت قناة باش نعاونها بلي كاينالحمد لله القناة طلعات شويو كنقول شكرا لكموالله في عون العبد مادام هو في عون اخيه,0
بسم الله الرحمن الرحيم برزت الجحيم للغاوين  معرفتش اش هاد المسخ ولا او يهضروا اقوللك عادي حرية شخصية  نهار القيامة  تجي معلق من جميع البلايص الله اهدي مخلق اقترب للناس حسابهم وهم في غفلة,1
سبحان الله بنادم ولا ملهوف على لفلوس و يقدر يدير أي حاجة على قبلها مابقات كتهمو لا دين لا أخلاق وبلا حشمة بلا حيا بففف الله يسترنا حتى يسترنا تراب هاد شي لي نطلبو,1
والله يعطيك الذل,1
تفو ووو شحال خايب بالشورط ,1
كتجيبو مكروبات وكديرو ليهم قيمة تفو,1
الى رجعتليه مرات راه معندهاش النفس ا مدلولة سرك كتر من هاد الشي طلقي الوسخ,1
اودي الى كان فيديو بحترام مشي مشكيل حيت اصلا روتين يومي تع عيلات مشي سوق رجالو رجال لي كتفرجوو فيه حيت مكابيت و بنسنى راجل يعون مرتوو فكوزينا عادي مفيهاا والووو,1
احبيبة الفديوات  ديالك  شاهدين  عليك  اتقو ا  الله فرجالكم  قلة التربية  راه الله  فالك تستري  واحد يتفرج فيك ودير ليك جيم  انعل بو الفلوس  الي وصلوكنم لهاد الدراجة,1
قناة مقودة واعرة زيد كمل اتبي ,1
ربي غادي ينصرك نتمتى غي ماتعقديش ونساي غادي ربي ينصرك أبنتي,0
هاد البنت حياتها ولات في خطار الله يستر وصافي,0
وكنتي بنت ناس وبكرمتك وشرفك ووعدك بزواج يجي يخطبك او يتزوج بيك  كاع ماتخرج  ودخل معه اوطيل و تحتفل وتخليه  يتقب ليك شرفك,1
القانون مافيه على وجه العيال,1
زبل في زبل وسختو الإعلام,1
او ميما قلتي لحرام راه تايخرج علا مولاه او تايولي عليه اويهدو او يهبطو لتحت الله استر او هادشي مقدر او مكتوب على بنتك ولا ولدك غير الله نهانا على لخرام او لمنكر وريبة والفخشاء وتباع الشيطان والكفر والمعصية او منغير لحلال مانديروش,0
مافهمت والو اش هدشي واش هدي هيا ليلى  هيا والى شي وحدا أخرة,0
كيطيييير   اوى هانت تفضحتي  دبا,1
و لمغرب بقاو فيه عاديوتين و لعاهرات تهلاو نخوي مها هاد لبلاد,1
من اللخر ,0
العز ليك اختي مرة و نص بلا ما تعايرو سيدة كل واحد كيحاسبو الله,0
ما فعل بشعب طيب مسالم عملاء الانجليز والامريكان حكما على المسماة سعودية وستدفع شعوبهم الثمن ومشاركة بالعدوان بصمتمهم  وهوانهم وذلهم,1
الله يشفيها ويعون أ مها المسكينة,0
الله يعطيك مصيبة نتي وكل النساء لكدير هاد روتيني اليومي خرجتو على المجتمع الله يمسحكم من الدنيا,1
الى كنتي كاتشقاي هكاك لبسي غير سروالك قدام لعالم كتشوهي فبلادك وشوهتي راسك,1
شكون رجع مابعد تصلحو,0
هذي عيب بحق الحكومه والقضاء المغربي بنت تغتصب امامكم وانتم ساكتيين,0
وتعجب لحال المسلمين,0
لي بكا يبان هنا,0
لا حول ولا قوة إلا بالله العلي العظيم الله ياخد فيك ألحق دابة نتي مالقيتي ما ديري الله يعطيك الدل والتبهديل نتي حاشة واش إمرأة محترمة تفو عليك,1
مراتو خاصها ديرليها كتر راجل راه يدور حتى يعيا ويرجع لمراتو,0
كلشي بارتاج,0
ختي نتي بي  راجل زوهير الله يرحمو مسكينه اقتال الله يخد فيه الحق بغيت ليه الاعدام ,0
الرجال فهاذ البلاد مرضو بالسكيزوفرينيا يتجوجو و يقراو الفاتحة و يبرزو قدام الناس و ينكرووا بااااااااااااز لوجهكم,1
ضبع تلقى مع ضبعة وداروا اسلب مشي اكلبفهذا هو العفن مشي الفن,1
الله يعطيك عذاب الدنيا والاخرة,1
يارب يهنيهوم ويزقهم بالذرية الصالحة ويستر كل بنت برنوس الستر,0
بصراحة دخلت لشوف تفي كاين مواضيع وناس فعلا محتاجينكم تعودنا منكم مواضيع تستحق  هدا السيدة اش كاتهمني عندها قناتها شوفو مشاكيل اكبر والا راه نسبة المشاهدة غدية تقل بسبب هدا التفاهة,1
كون جات كل واحد او وحدة ظروفها  خايبة تخرجها طريق وعكس ما امر الله لوكان خلات وفسدت صح مطلو فيك نهار كنتي محتاجة ودرك لي تعريتي وشطحتي طاحو عليك مسبة  ناس كلامة خدمتهم الهدرة تسمالا تمشي على حساب الناس مو حساب راسك,0
ولاو كيبدعوا فطرق السعاية من اليوتوبمابقات لا رجولة لا زمر,1
صوفيا كان عزيز عليا مي من تتهضر على  علاقاتك تنكرهك  ستر راسك,1
فيينكم العيالات القادات معاكمفاطمة الزهراء  شكون فيكم لآلة ومولاتي  لي تقدر تعاون راسها و راجلها وولياداتها على الزمانفي ظل هاد الأزمة ديال كورونا حبستي من الخدمة ملقيتيش مدخول أجي أختي سواء كنتي طالبة او ربة بيت او موظفة وبغيتي تزيدي في المدخول ولكن متقدريش تخرجي أنا نقول ليك كفاش غير من دارك وسط وليداتك تقدري يالاه اختي اش كتسناي كليكي هنا ودخلي تفهمي الخدمة استعملي هذا الرابط للانضمام إلى مجموعتي في واتساب ,0
اشهاد الويل تاني حكول ربي فينا الله ايستر,1
هدا لمحمي اكبر كداب  في ,1
نعني بغيتي الحوا,1
يا سبحان الله غا كازا لفيها شياطين باقي المدن فيها الملائكة اوا الله ينعل ديل بات بات حياة مت هادا لدير هد موضوع ملقيتو تا موضوع يطلع ليكم القناة لا ثقافة لا علم غير فضائح,1
استغفر الله العظيم ياربي تحفظنا يا كريم وترفع علينا كرونا,0
وبااااز,1
"نزار تغيرتي للاحسن بين عشية وضحاها   لبس مزيان   وخليك ديما انيق برافو  الاغنية روعة والمرة الجاية  خليو الفيديو طويل شوية وشكرا ل هشام الرجولة  برافو عليك خليك مع نزار  
",0
كل منشاف تعليقي سير الله يرحم والديك خلي شي ابونيي معاك,0
هدا ولد لحرام,1
تفو عليكم شوهتو بينا,1
نتي متأكدة من قواك العقلية سيري شوفي طبيب نفساني وباراكا من الخيال ,1
قالت ليك دا ليها شرفها على بنت عندها شرفها غادي تمشي مع واحد الاوطيل غادي ديري لينا بحال الكبيره لكن متخفيش غادي يوقفو معاك الشعب المغربي كلو إلا أنا,1
البنت خصنا دير تحاليل الهرمونات مبين انها عندها خلل هرموني طالع ليها هرمون دكورة  ودليل مختفية ليها نهائيا الانوثة,0
بغيت نفهم واش غير هي ههههه وكاتببن بنت نوال المتوكل سمحولي نوال واش كانت داعية ههه هدكشي شغلها وخا تعىة كلها بينها وببن مولها حنى بغيين ااصحة التعليم السكن بغيين القوانين اما تعرى متعرش حياتها وهي حرة,1
من العنوان  كيبان  الجواب صافي نوضتوها صباط  كتكبرو ريوسكم الشان و تعطيوك راسكم قيمة     و من بعد كتقلبو على بعضياتكم  ياك كنت كتهلي به      وهاداك بعدا واش راجل لكعيتعاطا مع العيالات,1
الناس لكيضحك على هاد خونا راه صدق راجل أونص حسن من مكابيت كيضل يتكرفس على بنات الناس,1
قصة غريبة راجل باغي يولي مراة والمرأة بغات تولي راجل فهم تسطى,1
نتي بعتي راسك رخيصة وهو طلع ولد لحرام مقطر وهادي ديرليك راس باش تكبر بنتك وتشوف هاد فضايح غتعقدوها,1
انا حسيت بنت شاربة شحاجة من تصروفتها الله يستر وصافي باركة من برطاج راكم تتدو غير دنوب  لاحول ولا قوة الا بلله,0
أفق أيها الشعب من غفلتك,1
